date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm)
1980-10-01,3.1,6.08,0.4719996527777777,192.61,711.33,0.5509980741595841
1980-10-02,4.24,10.530000000000001,0.4701513888888889,206.31,898.61,0.5607406727203627
1980-10-03,8.02,11.834999999999999,0.46799976851851854,165.35,1064.86,0.5585756508179673
1980-10-04,15.27,7.38,0.463999537037037,159.78,794.18,0.6711567897425189
1980-10-05,8.48,4.8,0.463999537037037,133.83,705.5,0.8216258119589868
1980-10-06,0.0,5.41,0.46,141.67,766.42,0.8670912719092866
1980-10-07,0.0,6.405,0.45920532407407405,171.11,789.18,0.9114742209083886
1980-10-08,2.1,7.675,0.45599953703703705,218.61,772.86,0.9482795932491073
1980-10-09,3.55,5.48,0.45200810185185186,189.92,652.42,0.9634347465658739
1980-10-10,0.0,3.67,0.452,236.02,592.65,0.9504446151515026
1980-10-11,10.66,1.5299999999999998,0.4480001157407407,238.28,440.0,0.9612697246634786
1980-10-12,12.3,5.555000000000001,0.4480001157407407,158.94,704.67,1.0825109511976112
1980-10-13,1.17,4.35,0.4440001157407408,186.73,661.87,1.1366364987574917
1980-10-14,0.26,1.725,0.44166932870370373,174.16,565.27,1.1474616082694677
1980-10-15,0.0,1.1800000000000002,0.4400003472222222,194.64,525.39,1.1474616082694677
1980-10-16,0.0,0.43500000000000005,0.43611064814814815,309.27,360.0,1.1474616082694677
1980-10-17,0.01,3.26,0.43600011574074077,306.62,438.24,1.1366364987574917
1980-10-18,0.19,8.5,0.43200000000000005,268.64,725.6,1.1366364987574917
1980-10-19,1.88,9.405000000000001,0.43194837962962956,216.89,867.28,1.0933360607095872
1980-10-20,0.91,4.62,0.428,223.6,618.52,1.0630257540760544
1980-10-21,1.71,1.7399999999999998,0.4261517361111111,209.99,521.4,1.0337979583937187
1980-10-22,0.36,1.1149999999999998,0.42400011574074076,169.52,529.26,1.0013226298577902
1980-10-23,0.0,0.4850000000000001,0.42121863425925926,210.54,467.11,0.949362104200305
1980-10-24,0.0,2.71,0.41999976851851856,225.1,536.43,0.9244643523227599
1980-10-25,0.19,1.4749999999999996,0.4164640046296296,275.14,390.48,0.9017316223476101
1980-10-26,12.62,4.445,0.4159996527777778,172.54,584.21,1.002405140808988
1980-10-27,2.99,1.16,0.4121109953703704,143.62,516.78,0.9894150093946166
1980-10-28,0.22,-1.1199999999999999,0.41200046296296294,181.64,432.69,0.9969925860529997
1980-10-29,0.0,-1.66,0.4080084490740741,194.53,406.04,0.9840024546386285
1980-10-30,0.0,0.020000000000000018,0.40794895833333333,157.85,492.6,0.9731773451266524
1980-10-31,0.01,1.5850000000000002,0.40399999999999997,161.71,546.61,0.9731773451266524
1980-11-01,1.47,1.465,0.4037145833333334,140.98,560.81,0.9569396808586882
1980-11-02,0.0,-1.3,0.40000023148148145,174.75,428.52,0.9266293742251551
1980-11-03,0.03,-4.3100000000000005,0.39971435185185183,229.41,282.94,0.9147217537619815
1980-11-04,1.46,1.125,0.3960082175925926,218.18,441.3,0.9093091990059934
1980-11-05,1.31,3.3049999999999997,0.39571446759259266,192.31,560.5,0.8887414909332388
1980-11-06,0.84,-2.38,0.3921108796296296,184.41,373.26,0.8605962062021009
1980-11-07,4.99,-0.42999999999999994,0.3919487268518519,115.59,467.3,0.8454410528853343
1980-11-08,6.84,-1.4,0.3884644675925926,104.57,442.67,0.8454410528853343
1980-11-09,1.99,-5.119999999999999,0.38799999999999996,210.55,279.9,0.8454410528853343
1980-11-10,3.43,-1.6400000000000001,0.3848466435185185,110.67,439.54,0.8497710966901247
1980-11-11,3.51,-0.54,0.3840003472222222,82.34,503.16,0.8346159433733582
1980-11-12,0.21,0.925,0.38166932870370374,95.12,568.26,0.8400284981293462
1980-11-13,1.0,-0.5200000000000001,0.3799997685185186,99.54,501.71,0.8562661623973103
1980-11-14,1.86,-1.1600000000000001,0.37920590277777777,99.68,470.46,0.8584311842997057
1980-11-15,0.0,-3.335,0.37611087962962964,141.08,380.35,0.8443585419341366
1980-11-16,1.41,-5.65,0.3759486111111111,144.43,311.03,0.812965724349406
1980-11-17,0.0,-5.18,0.37321898148148147,142.82,327.58,0.804305636739825
1980-11-18,4.65,-4.6,0.3719998842592593,95.63,359.96,0.7956455491302442
1980-11-19,1.8,-4.64,0.37120578703703705,92.4,373.96,0.7783253739110824
1980-11-20,0.0,-6.8,0.3684645833333333,219.48,235.94,0.7696652863015014
1980-11-21,0.0,-2.865,0.3680003472222222,197.0,343.97,0.7675002643991063
1980-11-22,0.0,-1.54,0.36615196759259255,187.1,388.65,0.7404374906191661
1980-11-23,0.0,-2.255,0.3644642361111111,213.42,320.0,0.7252823373023994
1980-11-24,11.42,0.2650000000000001,0.36400011574074076,137.4,445.1,0.7187872715952138
1980-11-25,16.61,2.035,0.3621513888888889,67.97,618.51,0.8292033886173701
1980-11-26,10.33,-2.495,0.3604638888888889,100.4,414.71,0.9591047027610835
1980-11-27,0.0,-6.655,0.3599998842592593,164.08,273.32,0.9558571699074907
1980-11-28,3.33,-5.175,0.35920578703703704,151.45,295.68,0.9840024546386285
1980-11-29,11.51,-1.765,0.3572189814814815,103.64,432.5,1.0457055788568925
1980-11-30,1.89,-2.355,0.35611041666666665,112.27,429.2,1.0305504255401257
1980-12-01,1.78,-4.6499999999999995,0.3559483796296296,168.87,293.24,1.0262203817353355
1980-12-02,3.97,-4.260000000000001,0.3546476851851852,164.09,296.33,0.9904975203458142
1980-12-03,12.44,-1.1700000000000002,0.35321898148148145,121.08,419.21,0.9904975203458142
1980-12-04,13.12,-6.175,0.35211030092592593,115.45,288.88,0.97425985607785
1980-12-05,2.63,-8.755,0.35199988425925927,94.4,267.06,0.9850849655898262
1980-12-06,0.0,-6.38,0.35171423611111113,124.13,310.75,1.0283854036377307
1980-12-07,0.01,-5.800000000000001,0.3506474537037037,131.29,317.32,1.1041611702215632
1980-12-08,7.21,-4.27,0.34966921296296294,125.08,321.72,1.179936936805396
1980-12-09,6.7,-4.1899999999999995,0.3488465277777778,122.09,330.25,1.2557127033892288
1980-12-10,0.79,-9.885,0.3481105324074074,177.02,199.86,1.3098382509491096
1980-12-11,1.12,-16.005,0.3480079861111111,189.71,115.19,1.3098382509491096
1980-12-12,0.5,-21.965,0.34794849537037037,192.3,40.16,1.2881880319251573
1980-12-13,2.33,-16.51,0.34771435185185184,180.4,82.09,1.2448875938772528
1980-12-14,0.65,-17.265,0.3472057870370371,184.59,80.0,1.1907620463173723
1980-12-15,1.12,-22.2,0.3466476851851852,164.68,78.06,1.1366364987574917
1980-12-16,8.32,-21.86,0.3466476851851852,147.95,40.0,1.071685841685635
1980-12-17,6.84,-16.545,0.3461518518518519,124.35,120.0,1.0283854036377307
1980-12-18,0.01,-17.195,0.3461518518518519,195.92,80.0,1.0013226298577902
1980-12-19,0.0,-16.72,0.3456693287037037,189.15,81.29,0.97425985607785
1980-12-20,0.0,-21.18,0.3456693287037037,177.14,80.0,0.9417845275419217
1980-12-21,0.0,-24.675,0.3461518518518519,157.7,40.44,0.9201343085179694
1980-12-22,0.19,-25.650000000000002,0.3461518518518519,196.28,40.0,0.8876589799820411
1980-12-23,3.0,-19.655,0.3461518518518519,163.01,45.37,0.8443585419341366
1980-12-24,4.59,-10.27,0.3466476851851852,112.75,200.0,0.8227083229101846
1980-12-25,4.99,-21.935,0.3472057870370371,142.8,40.15,0.8010581038862323
1980-12-26,0.0,-25.825,0.34771435185185184,179.6,40.0,0.7577576658383279
1980-12-27,0.0,-20.725,0.34794849537037037,178.0,79.98,0.7252823373023994
1980-12-28,0.0,-16.585,0.34800000000000003,207.46,52.43,0.7036321182784472
1980-12-29,2.01,-5.140000000000001,0.3480079861111111,111.06,302.54,0.681981899254495
1980-12-30,2.27,-8.01,0.3484641203703704,115.81,240.02,0.6603316802305428
1980-12-31,2.14,-6.575,0.3482361111111111,113.44,271.28,0.6332689064506025
1981-01-01,0.0,-19.36,0.34921886574074074,165.69,80.0,0.5953810231586861
1981-01-02,5.19,-16.544999999999998,0.35015162037037034,147.26,86.33,0.58455591364671
1981-01-03,6.68,-25.045,0.35120578703703703,118.19,40.0,0.5737308041347339
1981-01-04,0.0,-28.89,0.3519482638888889,156.51,40.0,0.5629056946227577
1981-01-05,0.52,-22.43,0.35200787037037035,197.17,40.0,0.5520805851107816
1981-01-06,0.97,-16.37,0.35284641203703704,172.71,91.15,0.5304303660868295
1981-01-07,7.72,-10.03,0.3541518518518519,132.78,166.52,0.5250178113308414
1981-01-08,4.7,-12.765,0.35571446759259256,117.71,151.22,0.5196052565748533
1981-01-09,0.0,-19.515,0.35600000000000004,155.99,80.0,0.5087801470628772
1981-01-10,7.05,-19.5,0.3564643518518519,154.36,80.0,0.4979550375509011
1981-01-11,4.72,-17.535,0.35815185185185183,120.38,107.1,0.487129928038925
1981-01-12,0.0,-20.555,0.3599482638888889,151.54,80.0,0.48171737328293696
1981-01-13,7.56,-24.005,0.36000787037037035,151.09,40.0,0.4763048185269489
1981-01-14,2.02,-17.52,0.36121863425925926,128.97,120.0,0.47089226377096083
1981-01-15,0.0,-20.45,0.3637142361111111,221.24,45.45,0.46547970901497276
1981-01-16,0.0,-21.035,0.36400011574074076,229.52,40.0,0.46547970901497276
1981-01-17,0.0,-19.95,0.36521898148148146,211.31,76.03,0.4600671542589847
1981-01-18,0.17,-19.075,0.36771435185185186,227.81,80.0,0.4546545995029967
1981-01-19,0.0,-11.04,0.3680083333333333,157.65,183.55,0.44382948999102056
1981-01-20,0.0,-13.46,0.3696696759259259,180.51,141.06,0.4330043804790444
1981-01-21,0.65,-16.745,0.3719483796296296,204.36,81.51,0.4330043804790444
1981-01-22,5.65,-14.9,0.37211041666666667,170.28,113.78,0.4330043804790444
1981-01-23,4.21,-9.315,0.3746479166666667,86.02,239.83,0.4275918257230564
1981-01-24,1.92,-8.620000000000001,0.3760002314814815,114.88,240.0,0.4221792709670683
1981-01-25,0.0,-10.895,0.3772188657407407,201.6,168.43,0.4221792709670683
1981-01-26,0.0,-6.955,0.3799997685185186,214.84,220.04,0.4167667162110803
1981-01-27,0.85,-1.165,0.3804640046296296,138.55,437.46,0.4167667162110803
1981-01-28,0.0,-10.865,0.383714699074074,227.09,160.25,0.4113541614550923
1981-01-29,0.0,-18.985,0.38400833333333334,270.81,53.24,0.4167667162110803
1981-01-30,0.0,-17.815,0.3866476851851852,225.74,83.67,0.4167667162110803
1981-01-31,0.0,-15.095,0.38799999999999996,267.88,84.16,0.4167667162110803
1981-02-01,1.07,-10.075000000000001,0.3901519675925926,265.91,120.0,0.4221792709670683
1981-02-02,14.21,0.9050000000000002,0.39200034722222227,153.47,438.66,0.4275918257230564
1981-02-03,7.43,-7.055,0.3936696759259259,209.08,211.44,0.7144572277904233
1981-02-04,0.0,-18.38,0.39600023148148145,245.11,80.0,0.7144572277904233
1981-02-05,0.0,-19.32,0.3972188657407407,269.06,80.0,0.7144572277904233
1981-02-06,0.0,-16.18,0.40000023148148145,272.87,86.12,0.7144572277904233
1981-02-07,0.0,-11.135,0.4012189814814815,259.17,156.75,0.6711567897425189
